Iteration,Load Factor,Servers,Customers,Mean Wait Time
24,0.75,1,9000,3.3583973322826473
24,0.75,1,10000,3.262984351771215
24,0.75,1,20000,3.0878838846734156
24,0.75,1,30000,3.053358765150204
24,0.75,1,40000,3.0333183691973704
25,0.75,1,100,0.9054880629327468
25,0.75,1,200,1.3114404035896459
25,0.75,1,300,1.7317420453458454
25,0.75,1,400,1.8720865425070279
25,0.75,1,500,1.9882965638874894
25,0.75,1,600,2.4982697162874103
25,0.75,1,700,2.387859398929192
25,0.75,1,800,2.194322024390091
25,0.75,1,900,2.223205095472396
25,0.75,1,1000,2.1252155933842873
25,0.75,1,2000,2.468878607102266
25,0.75,1,3000,2.354970958725283
25,0.75,1,4000,2.54743976033571
25,0.75,1,5000,2.6242921169051727
25,0.75,1,6000,2.4970980447284443
25,0.75,1,7000,2.5918725727772185
25,0.75,1,8000,2.692247556721957
25,0.75,1,9000,2.6791112829501205
25,0.75,1,10000,2.6221491600998887
25,0.75,1,20000,2.9437524184264467
25,0.75,1,30000,3.0270130151962036
25,0.75,1,40000,2.914184953006853
26,0.75,1,100,3.3168443423423493
26,0.75,1,200,2.4040265420530273
26,0.75,1,300,2.061854369923415
26,0.75,1,400,1.9409477535169426
26,0.75,1,500,1.701609339461912
26,0.75,1,600,1.9999620164435028
26,0.75,1,700,1.8934150058469172
26,0.75,1,800,1.9074216308486729
26,0.75,1,900,1.9816230892249604
26,0.75,1,1000,2.2781143169944715
26,0.75,1,2000,3.1561947211046575
26,0.75,1,3000,3.101648231147709
26,0.75,1,4000,3.07227530530686
26,0.75,1,5000,3.025323372396695
26,0.75,1,6000,2.9588123391436967
26,0.75,1,7000,2.8692100206850895
26,0.75,1,8000,3.0083010979248983
26,0.75,1,9000,2.9331204030070555
26,0.75,1,10000,2.891230213018111
26,0.75,1,20000,3.2573675246747493
26,0.75,1,30000,3.1842731237037594
26,0.75,1,40000,3.241313265420171
27,0.75,1,100,6.7640810568293395
27,0.75,1,200,4.705731241811903
27,0.75,1,300,4.297598511597633
27,0.75,1,400,3.8517984091891964
27,0.75,1,500,3.3602287567917695
27,0.75,1,600,3.003752180157041
27,0.75,1,700,3.3244363835724555
27,0.75,1,800,3.20307740345752
27,0.75,1,900,2.9930103651448188
